time [hours], national grid [W], fixed load [W], variable load [W], PV [W] 
0 , 3106.07 , 2266.76 , 839.31 , 0
0.5 , 2942 , 2102.69 , 839.31 , 0
1 , 2774.12 , 1934.81 , 839.31 , 0
1.5 , 2614.62 , 1775.31 , 839.31 , 0
2 , 2526.08 , 1686.77 , 839.31 , 0
2.5 , 3274.68 , 1596.06 , 1678.62 , 0
3 , 3192.99 , 1514.37 , 1678.62 , 0
3.5 , 3133.77 , 1455.15 , 1678.62 , 0
4 , 3082.98 , 1404.36 , 1678.62 , 0
4.5 , 3042.02 , 1363.4 , 1678.62 , 0
5 , 3042.86 , 1364.24 , 1678.62 , 0
5.5 , 3034.09 , 1355.47 , 1678.62 , 0
6 , 3023.71 , 1345.09 , 1678.62 , 0
6.5 , 3056.95 , 1382.71 , 1678.62 , 4.38768
7 , 3102.75 , 1428.52 , 1678.62 , 4.38768
7.5 , 3083.65 , 1514.42 , 1678.62 , 109.392
8 , 3197.41 , 1628.18 , 1678.62 , 109.392
8.5 , 3192.98 , 1778.98 , 1678.62 , 264.627
9 , 2555.23 , 1980.54 , 839.31 , 264.627
9.5 , 3337.37 , 2169.19 , 1678.62 , 510.449
10 , 2655.59 , 2326.73 , 839.31 , 510.449
10.5 , 3007.42 , 2482.18 , 1678.62 , 1153.38
11 , 3156.4 , 2631.16 , 1678.62 , 1153.38
11.5 , 3002.1 , 2776.35 , 1678.62 , 1452.87
12 , 3066.71 , 2840.96 , 1678.62 , 1452.87
12.5 , 2935.65 , 2817.27 , 2517.93 , 2399.55
13 , 2807.01 , 2688.62 , 2517.93 , 2399.55
13.5 , 2931.49 , 2488.1 , 1678.62 , 1235.23
14 , 2813.94 , 2370.54 , 1678.62 , 1235.23
14.5 , 2918.31 , 2300.83 , 2517.93 , 1900.45
15 , 2871.91 , 2254.43 , 2517.93 , 1900.45
15.5 , 3018.95 , 2204.91 , 2517.93 , 1703.89
16 , 2971.7 , 2157.66 , 2517.93 , 1703.89
16.5 , 2675.05 , 2145.18 , 1678.62 , 1148.75
17 , 2704.33 , 2174.46 , 1678.62 , 1148.75
17.5 , 2545.77 , 2238.55 , 839.31 , 532.094
18 , 2662.14 , 2354.92 , 839.31 , 532.094
18.5 , 2527.34 , 2587.66 , 0 , 60.3139
19 , 2833.63 , 2893.94 , 0 , 60.3139
19.5 , 3077.04 , 3077.04 , 0 , 0
20 , 3191.58 , 3191.58 , 0 , 0
20.5 , 3197.79 , 3197.79 , 0 , 0
21 , 3144.74 , 3144.74 , 0 , 0
21.5 , 3073.29 , 3073.29 , 0 , 0
22 , 2978.36 , 2978.36 , 0 , 0
22.5 , 2838.07 , 2838.07 , 0 , 0
23 , 2630.5 , 2630.5 , 0 , 0
23.5 , 3228.94 , 2389.63 , 839.31 , 0
