time [hours], national grid [W], fixed load [W], variable load [W], PV [W] 
0 , 9067.03 , 9067.03 , 0 , 0
0.5 , 9250.07 , 8410.76 , 839.31 , 0
1 , 9417.87 , 7739.25 , 1678.62 , 0
1.5 , 9619.18 , 7101.25 , 2517.93 , 0
2 , 9265 , 6747.07 , 2517.93 , 0
2.5 , 8902.16 , 6384.23 , 2517.93 , 0
3 , 9414.71 , 6057.47 , 3357.24 , 0
3.5 , 9177.85 , 5820.6 , 3357.24 , 0
4 , 8974.69 , 5617.45 , 3357.24 , 0
4.5 , 8810.86 , 5453.62 , 3357.24 , 0
5 , 8814.18 , 5456.94 , 3357.24 , 0
5.5 , 9618.43 , 5421.88 , 4196.55 , 0
6 , 9576.9 , 5380.35 , 4196.55 , 0
6.5 , 8853 , 5530.86 , 3357.24 , 35.1014
7 , 9036.21 , 5714.07 , 3357.24 , 35.1014
7.5 , 9379.1 , 6057.69 , 4196.55 , 875.134
8 , 8994.83 , 6512.72 , 3357.24 , 875.134
8.5 , 9195.47 , 7115.93 , 4196.55 , 2117.01
9 , 9162.39 , 7922.17 , 3357.24 , 2117.01
9.5 , 9629.04 , 8676.78 , 5035.86 , 4083.59
10 , 9419.86 , 9306.9 , 4196.55 , 4083.59
10.5 , 9094.76 , 9928.72 , 8393.1 , 9227.07
11 , 8851.38 , 10524.6 , 7553.79 , 9227.07
11.5 , 9554.17 , 11105.4 , 10071.7 , 11623
12 , 8973.29 , 11363.8 , 9232.41 , 11623
12.5 , 8858.91 , 11269.1 , 16786.2 , 19196.4
13 , 9183.63 , 10754.5 , 17625.5 , 19196.4
13.5 , 9302.98 , 9952.4 , 9232.41 , 9881.83
14 , 8832.76 , 9482.18 , 9232.41 , 9881.83
14.5 , 9107.34 , 9203.32 , 15107.6 , 15203.6
15 , 8921.73 , 9017.71 , 15107.6 , 15203.6
15.5 , 9456.78 , 8819.64 , 14268.3 , 13631.1
16 , 9267.77 , 8630.63 , 14268.3 , 13631.1
16.5 , 9462.42 , 8580.72 , 10071.7 , 9190.02
17 , 9579.55 , 8697.85 , 10071.7 , 9190.02
17.5 , 8894.01 , 8954.21 , 4196.55 , 4256.75
18 , 9359.5 , 9419.7 , 4196.55 , 4256.75
18.5 , 9868.12 , 10350.6 , 0 , 482.511
19 , 11093.2 , 11575.8 , 0 , 482.511
19.5 , 12308.1 , 12308.1 , 0 , 0
20 , 12766.3 , 12766.3 , 0 , 0
20.5 , 12791.2 , 12791.2 , 0 , 0
21 , 12579 , 12579 , 0 , 0
21.5 , 12293.2 , 12293.2 , 0 , 0
22 , 11913.4 , 11913.4 , 0 , 0
22.5 , 11352.3 , 11352.3 , 0 , 0
23 , 10522 , 10522 , 0 , 0
23.5 , 9558.54 , 9558.54 , 0 , 0
