time [hours], national grid [W], fixed load [W], variable load [W], PV [W] 
0 , 3022.34 , 3022.34 , 0 , 0
0.5 , 2803.59 , 2803.59 , 0 , 0
1 , 2579.75 , 2579.75 , 0 , 0
1.5 , 2367.08 , 2367.08 , 0 , 0
2 , 2249.02 , 2249.02 , 0 , 0
2.5 , 2442.82 , 2128.08 , 314.741 , 0
3 , 2333.9 , 2019.16 , 314.741 , 0
3.5 , 2254.94 , 1940.2 , 314.741 , 0
4 , 2187.22 , 1872.48 , 314.741 , 0
4.5 , 2447.35 , 1817.87 , 629.483 , 0
5 , 2448.46 , 1818.98 , 629.483 , 0
5.5 , 2436.78 , 1807.29 , 629.483 , 0
6 , 2422.93 , 1793.45 , 629.483 , 0
6.5 , 2149.58 , 1843.62 , 314.741 , 8.77535
7 , 2210.66 , 1904.69 , 314.741 , 8.77535
7.5 , 2429.93 , 2019.23 , 629.483 , 218.783
8 , 2266.86 , 2170.91 , 314.741 , 218.783
8.5 , 2157.47 , 2371.98 , 314.741 , 529.253
9 , 2426.21 , 2640.72 , 314.741 , 529.253
9.5 , 2186.1 , 2892.26 , 314.741 , 1020.9
10 , 2396.14 , 3102.3 , 314.741 , 1020.9
10.5 , 2261.77 , 3309.57 , 1258.97 , 2306.77
11 , 2145.67 , 3508.22 , 944.224 , 2306.77
11.5 , 2369.77 , 3701.8 , 1573.71 , 2905.74
12 , 2141.17 , 3787.94 , 1258.97 , 2905.74
12.5 , 845.714 , 3756.36 , 1888.45 , 4799.09
13 , 674.184 , 3584.83 , 1888.45 , 4799.09
13.5 , 2420.71 , 3317.47 , 1573.71 , 2470.46
14 , 2263.98 , 3160.73 , 1573.71 , 2470.46
14.5 , 1155.33 , 3067.77 , 1888.45 , 3800.89
15 , 1093.46 , 3005.9 , 1888.45 , 3800.89
15.5 , 1420.55 , 2939.88 , 1888.45 , 3407.78
16 , 1357.54 , 2876.88 , 1888.45 , 3407.78
16.5 , 2451.18 , 2860.24 , 1888.45 , 2297.51
17 , 2175.48 , 2899.28 , 1573.71 , 2297.51
17.5 , 2235.29 , 2984.74 , 314.741 , 1064.19
18 , 2390.45 , 3139.9 , 314.741 , 1064.19
18.5 , 3329.58 , 3450.21 , 0 , 120.628
19 , 3737.96 , 3858.59 , 0 , 120.628
19.5 , 4102.71 , 4102.71 , 0 , 0
20 , 4255.44 , 4255.44 , 0 , 0
20.5 , 4263.73 , 4263.73 , 0 , 0
21 , 4192.99 , 4192.99 , 0 , 0
21.5 , 4097.72 , 4097.72 , 0 , 0
22 , 3971.15 , 3971.15 , 0 , 0
22.5 , 3784.1 , 3784.1 , 0 , 0
23 , 3507.33 , 3507.33 , 0 , 0
23.5 , 3186.18 , 3186.18 , 0 , 0
