time [hours], national grid [W], fixed load [W], variable load [W], PV [W] 
0 , 2833.45 , 2833.45 , 0 , 0
0.5 , 2628.36 , 2628.36 , 0 , 0
1 , 2943.09 , 2418.52 , 524.569 , 0
1.5 , 2743.71 , 2219.14 , 524.569 , 0
2 , 2633.03 , 2108.46 , 524.569 , 0
2.5 , 3044.21 , 1995.07 , 1049.14 , 0
3 , 2942.1 , 1892.96 , 1049.14 , 0
3.5 , 2868.08 , 1818.94 , 1049.14 , 0
4 , 2804.59 , 1755.45 , 1049.14 , 0
4.5 , 2753.39 , 1704.25 , 1049.14 , 0
5 , 2754.43 , 1705.29 , 1049.14 , 0
5.5 , 2743.47 , 1694.34 , 1049.14 , 0
6 , 2730.5 , 1681.36 , 1049.14 , 0
6.5 , 2773.14 , 1728.39 , 1049.14 , 4.38768
7 , 2830.4 , 1785.65 , 1049.14 , 4.38768
7.5 , 2832.77 , 1893.03 , 1049.14 , 109.392
8 , 2974.97 , 2035.23 , 1049.14 , 109.392
8.5 , 3008.24 , 2223.73 , 1049.14 , 264.627
9 , 2735.62 , 2475.68 , 524.569 , 264.627
9.5 , 2725.61 , 2711.49 , 524.569 , 510.449
10 , 2922.53 , 2908.41 , 524.569 , 510.449
10.5 , 2998.48 , 3102.73 , 1049.14 , 1153.38
11 , 2660.14 , 3288.95 , 524.569 , 1153.38
11.5 , 3066.71 , 3470.44 , 1049.14 , 1452.87
12 , 2622.9 , 3551.2 , 524.569 , 1452.87
12.5 , 2695.75 , 3521.59 , 1573.71 , 2399.55
13 , 3059.51 , 3360.78 , 2098.28 , 2399.55
13.5 , 2924.03 , 3110.12 , 1049.14 , 1235.23
14 , 2777.09 , 2963.18 , 1049.14 , 1235.23
14.5 , 3073.87 , 2876.04 , 2098.28 , 1900.45
15 , 3015.87 , 2818.04 , 2098.28 , 1900.45
15.5 , 2625.95 , 2756.14 , 1573.71 , 1703.89
16 , 3091.46 , 2697.07 , 2098.28 , 1703.89
16.5 , 3106.43 , 2681.47 , 1573.71 , 1148.75
17 , 3143.03 , 2718.08 , 1573.71 , 1148.75
17.5 , 2790.67 , 2798.19 , 524.569 , 532.094
18 , 2936.13 , 2943.66 , 524.569 , 532.094
18.5 , 3174.26 , 3234.57 , 0 , 60.3139
19 , 3557.11 , 3617.42 , 0 , 60.3139
19.5 , 3846.29 , 3846.29 , 0 , 0
20 , 3989.48 , 3989.48 , 0 , 0
20.5 , 3997.24 , 3997.24 , 0 , 0
21 , 3930.93 , 3930.93 , 0 , 0
21.5 , 3841.61 , 3841.61 , 0 , 0
22 , 3722.95 , 3722.95 , 0 , 0
22.5 , 3547.59 , 3547.59 , 0 , 0
23 , 3288.12 , 3288.12 , 0 , 0
23.5 , 2987.04 , 2987.04 , 0 , 0
