time [hours], national grid [W], fixed load [W], variable load [W], PV [W] 
0 , 3022.34 , 3022.34 , 0 , 0
0.5 , 2803.59 , 2803.59 , 0 , 0
1 , 2579.75 , 2579.75 , 0 , 0
1.5 , 2367.08 , 2367.08 , 0 , 0
2 , 2249.02 , 2249.02 , 0 , 0
2.5 , 2128.08 , 2128.08 , 0 , 0
3 , 2019.16 , 2019.16 , 0 , 0
3.5 , 1940.2 , 1940.2 , 0 , 0
4 , 2292.14 , 1872.48 , 419.655 , 0
4.5 , 2237.53 , 1817.87 , 419.655 , 0
5 , 2238.64 , 1818.98 , 419.655 , 0
5.5 , 2226.95 , 1807.29 , 419.655 , 0
6 , 2213.11 , 1793.45 , 419.655 , 0
6.5 , 2254.5 , 1843.62 , 419.655 , 8.77535
7 , 2315.57 , 1904.69 , 419.655 , 8.77535
7.5 , 2220.1 , 2019.23 , 419.655 , 218.783
8 , 1952.12 , 2170.91 , 0 , 218.783
8.5 , 2262.38 , 2371.98 , 419.655 , 529.253
9 , 2111.47 , 2640.72 , 0 , 529.253
9.5 , 2291.02 , 2892.26 , 419.655 , 1020.9
10 , 2081.4 , 3102.3 , 0 , 1020.9
10.5 , 2261.77 , 3309.57 , 1258.97 , 2306.77
11 , 2040.76 , 3508.22 , 839.31 , 2306.77
11.5 , 2055.03 , 3701.8 , 1258.97 , 2905.74
12 , 2141.17 , 3787.94 , 1258.97 , 2905.74
12.5 , 1475.2 , 3756.36 , 2517.93 , 4799.09
13 , 1303.67 , 3584.83 , 2517.93 , 4799.09
13.5 , 2105.97 , 3317.47 , 1258.97 , 2470.46
14 , 1949.23 , 3160.73 , 1258.97 , 2470.46
14.5 , 1784.81 , 3067.77 , 2517.93 , 3800.89
15 , 1722.94 , 3005.9 , 2517.93 , 3800.89
15.5 , 2050.03 , 2939.88 , 2517.93 , 3407.78
16 , 1987.02 , 2876.88 , 2517.93 , 3407.78
16.5 , 2241.35 , 2860.24 , 1678.62 , 2297.51
17 , 2280.4 , 2899.28 , 1678.62 , 2297.51
17.5 , 2340.2 , 2984.74 , 419.655 , 1064.19
18 , 2075.71 , 3139.9 , 0 , 1064.19
18.5 , 3329.58 , 3450.21 , 0 , 120.628
19 , 3737.96 , 3858.59 , 0 , 120.628
19.5 , 4102.71 , 4102.71 , 0 , 0
20 , 4255.44 , 4255.44 , 0 , 0
20.5 , 4263.73 , 4263.73 , 0 , 0
21 , 4192.99 , 4192.99 , 0 , 0
21.5 , 4097.72 , 4097.72 , 0 , 0
22 , 3971.15 , 3971.15 , 0 , 0
22.5 , 3784.1 , 3784.1 , 0 , 0
23 , 3507.33 , 3507.33 , 0 , 0
23.5 , 3186.18 , 3186.18 , 0 , 0
