time [hours], national grid [W], fixed load [W], variable load [W], PV [W] 
0 , 5980.86 , 2833.45 , 3147.41 , 0
0.5 , 5775.78 , 2628.36 , 3147.41 , 0
1 , 5565.93 , 2418.52 , 3147.41 , 0
1.5 , 5366.55 , 2219.14 , 3147.41 , 0
2 , 5255.87 , 2108.46 , 3147.41 , 0
2.5 , 5142.49 , 1995.07 , 3147.41 , 0
3 , 5040.37 , 1892.96 , 3147.41 , 0
3.5 , 4966.35 , 1818.94 , 3147.41 , 0
4 , 4902.87 , 1755.45 , 3147.41 , 0
4.5 , 4851.67 , 1704.25 , 3147.41 , 0
5 , 4852.71 , 1705.29 , 3147.41 , 0
5.5 , 4841.75 , 1694.34 , 3147.41 , 0
6 , 1681.36 , 1681.36 , 0 , 0
6.5 , 1724 , 1728.39 , 0 , 4.38768
7 , 1781.26 , 1785.65 , 0 , 4.38768
7.5 , 1783.64 , 1893.03 , 0 , 109.392
8 , 1925.83 , 2035.23 , 0 , 109.392
8.5 , 1959.1 , 2223.73 , 0 , 264.627
9 , 2211.05 , 2475.68 , 0 , 264.627
9.5 , 2201.04 , 2711.49 , 0 , 510.449
10 , 2397.96 , 2908.41 , 0 , 510.449
10.5 , 1949.34 , 3102.73 , 0 , 1153.38
11 , 2135.57 , 3288.95 , 0 , 1153.38
11.5 , 2017.57 , 3470.44 , 0 , 1452.87
12 , 2098.33 , 3551.2 , 0 , 1452.87
12.5 , 1122.04 , 3521.59 , 0 , 2399.55
13 , 961.23 , 3360.78 , 0 , 2399.55
13.5 , 1874.89 , 3110.12 , 0 , 1235.23
14 , 1727.95 , 2963.18 , 0 , 1235.23
14.5 , 975.59 , 2876.04 , 0 , 1900.45
15 , 917.589 , 2818.04 , 0 , 1900.45
15.5 , 1052.25 , 2756.14 , 0 , 1703.89
16 , 993.18 , 2697.07 , 0 , 1703.89
16.5 , 1532.72 , 2681.47 , 0 , 1148.75
17 , 1569.32 , 2718.08 , 0 , 1148.75
17.5 , 2266.1 , 2798.19 , 0 , 532.094
18 , 2411.56 , 2943.66 , 0 , 532.094
18.5 , 3174.26 , 3234.57 , 0 , 60.3139
19 , 3557.11 , 3617.42 , 0 , 60.3139
19.5 , 3846.29 , 3846.29 , 0 , 0
20 , 3989.48 , 3989.48 , 0 , 0
20.5 , 3997.24 , 3997.24 , 0 , 0
21 , 3930.93 , 3930.93 , 0 , 0
21.5 , 3841.61 , 3841.61 , 0 , 0
22 , 3722.95 , 3722.95 , 0 , 0
22.5 , 3547.59 , 3547.59 , 0 , 0
23 , 3288.12 , 3288.12 , 0 , 0
23.5 , 2987.04 , 2987.04 , 0 , 0
