time [hours], national grid [W], fixed load [W], variable load [W], PV [W] 
0 , 3777.93 , 3777.93 , 0 , 0
0.5 , 3504.48 , 3504.48 , 0 , 0
1 , 3224.69 , 3224.69 , 0 , 0
1.5 , 2958.85 , 2958.85 , 0 , 0
2 , 2811.28 , 2811.28 , 0 , 0
2.5 , 2660.1 , 2660.1 , 0 , 0
3 , 2523.94 , 2523.94 , 0 , 0
3.5 , 2425.25 , 2425.25 , 0 , 0
4 , 2340.6 , 2340.6 , 0 , 0
4.5 , 2272.34 , 2272.34 , 0 , 0
5 , 2273.73 , 2273.73 , 0 , 0
5.5 , 2259.12 , 2259.12 , 0 , 0
6 , 2241.81 , 2241.81 , 0 , 0
6.5 , 2300.14 , 2304.52 , 0 , 4.38768
7 , 2376.48 , 2380.86 , 0 , 4.38768
7.5 , 2414.64 , 2524.04 , 0 , 109.392
8 , 2604.24 , 2713.63 , 0 , 109.392
8.5 , 2700.35 , 2964.97 , 0 , 264.627
9 , 3036.28 , 3300.9 , 0 , 264.627
9.5 , 3104.87 , 3615.32 , 0 , 510.449
10 , 3367.43 , 3877.88 , 0 , 510.449
10.5 , 2983.58 , 4136.97 , 0 , 1153.38
11 , 3231.89 , 4385.27 , 0 , 1153.38
11.5 , 3174.38 , 4627.25 , 0 , 1452.87
12 , 3282.06 , 4734.93 , 0 , 1452.87
12.5 , 2295.9 , 4695.45 , 0 , 2399.55
13 , 2081.49 , 4481.04 , 0 , 2399.55
13.5 , 2911.6 , 4146.83 , 0 , 1235.23
14 , 2715.68 , 3950.91 , 0 , 1235.23
14.5 , 1934.27 , 3834.71 , 0 , 1900.45
15 , 1856.93 , 3757.38 , 0 , 1900.45
15.5 , 1970.96 , 3674.85 , 0 , 1703.89
16 , 1892.2 , 3596.1 , 0 , 1703.89
16.5 , 2426.55 , 3575.3 , 0 , 1148.75
17 , 2475.35 , 3624.1 , 0 , 1148.75
17.5 , 3198.83 , 3730.92 , 0 , 532.094
18 , 3392.78 , 3924.87 , 0 , 532.094
18.5 , 4252.45 , 4312.76 , 0 , 60.3139
19 , 4762.92 , 4823.23 , 0 , 60.3139
19.5 , 5128.39 , 5128.39 , 0 , 0
20 , 5319.3 , 5319.3 , 0 , 0
20.5 , 5329.66 , 5329.66 , 0 , 0
21 , 5241.24 , 5241.24 , 0 , 0
21.5 , 5122.15 , 5122.15 , 0 , 0
22 , 4963.93 , 4963.93 , 0 , 0
22.5 , 4730.12 , 4730.12 , 0 , 0
23 , 4384.16 , 4384.16 , 0 , 0
23.5 , 3982.72 , 3982.72 , 0 , 0
