time [hours], national grid [W], fixed load [W], variable load [W], PV [W] 
0 , 3442 , 3022.34 , 419.655 , 0
0.5 , 2803.59 , 2803.59 , 0 , 0
1 , 3838.72 , 2579.75 , 1258.97 , 0
1.5 , 2786.74 , 2367.08 , 419.655 , 0
2 , 3927.64 , 2249.02 , 1678.62 , 0
2.5 , 2547.73 , 2128.08 , 419.655 , 0
3 , 3697.78 , 2019.16 , 1678.62 , 0
3.5 , 3199.17 , 1940.2 , 1258.97 , 0
4 , 2711.79 , 1872.48 , 839.31 , 0
4.5 , 3076.84 , 1817.87 , 1258.97 , 0
5 , 3917.26 , 1818.98 , 2098.28 , 0
5.5 , 3485.91 , 1807.29 , 1678.62 , 0
6 , 2213.11 , 1793.45 , 419.655 , 0
6.5 , 1839.23 , 1843.62 , 0 , 4.38768
7 , 2319.96 , 1904.69 , 419.655 , 4.38768
7.5 , 2749.15 , 2019.23 , 839.31 , 109.392
8 , 2481.17 , 2170.91 , 419.655 , 109.392
8.5 , 2527.01 , 2371.98 , 419.655 , 264.627
9 , 2795.75 , 2640.72 , 419.655 , 264.627
9.5 , 2801.46 , 2892.26 , 419.655 , 510.449
10 , 3431.16 , 3102.3 , 839.31 , 510.449
10.5 , 2156.19 , 3309.57 , 0 , 1153.38
11 , 3194.14 , 3508.22 , 839.31 , 1153.38
11.5 , 3088.24 , 3701.8 , 839.31 , 1452.87
12 , 3174.39 , 3787.94 , 839.31 , 1452.87
12.5 , 2196.12 , 3756.36 , 839.31 , 2399.55
13 , 1604.94 , 3584.83 , 419.655 , 2399.55
13.5 , 2921.55 , 3317.47 , 839.31 , 1235.23
14 , 2345.15 , 3160.73 , 419.655 , 1235.23
14.5 , 2426.29 , 3067.77 , 1258.97 , 1900.45
15 , 1944.77 , 3005.9 , 839.31 , 1900.45
15.5 , 1655.64 , 2939.88 , 419.655 , 1703.89
16 , 2431.95 , 2876.88 , 1258.97 , 1703.89
16.5 , 2550.8 , 2860.24 , 839.31 , 1148.75
17 , 3009.5 , 2899.28 , 1258.97 , 1148.75
17.5 , 2872.3 , 2984.74 , 419.655 , 532.094
18 , 3027.46 , 3139.9 , 419.655 , 532.094
18.5 , 3389.9 , 3450.21 , 0 , 60.3139
19 , 3798.27 , 3858.59 , 0 , 60.3139
19.5 , 4102.71 , 4102.71 , 0 , 0
20 , 4255.44 , 4255.44 , 0 , 0
20.5 , 4683.38 , 4263.73 , 419.655 , 0
21 , 4612.65 , 4192.99 , 419.655 , 0
21.5 , 4097.72 , 4097.72 , 0 , 0
22 , 3971.15 , 3971.15 , 0 , 0
22.5 , 3784.1 , 3784.1 , 0 , 0
23 , 3507.33 , 3507.33 , 0 , 0
23.5 , 3605.83 , 3186.18 , 419.655 , 0
