time [hours], national grid [W], fixed load [W], variable load [W], PV [W] 
0 , 3442 , 3022.34 , 419.655 , 0
0.5 , 2803.59 , 2803.59 , 0 , 0
1 , 2999.41 , 2579.75 , 419.655 , 0
1.5 , 2786.74 , 2367.08 , 419.655 , 0
2 , 2668.68 , 2249.02 , 419.655 , 0
2.5 , 2967.39 , 2128.08 , 839.31 , 0
3 , 2019.16 , 2019.16 , 0 , 0
3.5 , 3199.17 , 1940.2 , 1258.97 , 0
4 , 2292.14 , 1872.48 , 419.655 , 0
4.5 , 3076.84 , 1817.87 , 1258.97 , 0
5 , 2658.29 , 1818.98 , 839.31 , 0
5.5 , 2226.95 , 1807.29 , 419.655 , 0
6 , 2632.76 , 1793.45 , 839.31 , 0
6.5 , 2678.54 , 1843.62 , 839.31 , 4.38768
7 , 2319.96 , 1904.69 , 419.655 , 4.38768
7.5 , 2749.15 , 2019.23 , 839.31 , 109.392
8 , 2900.83 , 2170.91 , 839.31 , 109.392
8.5 , 3366.32 , 2371.98 , 1258.97 , 264.627
9 , 3635.06 , 2640.72 , 1258.97 , 264.627
9.5 , 2801.46 , 2892.26 , 419.655 , 510.449
10 , 3431.16 , 3102.3 , 839.31 , 510.449
10.5 , 2156.19 , 3309.57 , 0 , 1153.38
11 , 3194.14 , 3508.22 , 839.31 , 1153.38
11.5 , 2668.58 , 3701.8 , 419.655 , 1452.87
12 , 3174.39 , 3787.94 , 839.31 , 1452.87
12.5 , 2196.12 , 3756.36 , 839.31 , 2399.55
13 , 2444.25 , 3584.83 , 1258.97 , 2399.55
13.5 , 2501.89 , 3317.47 , 419.655 , 1235.23
14 , 2764.81 , 3160.73 , 839.31 , 1235.23
14.5 , 2006.64 , 3067.77 , 839.31 , 1900.45
15 , 2364.42 , 3005.9 , 1258.97 , 1900.45
15.5 , 2075.3 , 2939.88 , 839.31 , 1703.89
16 , 1592.64 , 2876.88 , 419.655 , 1703.89
16.5 , 2131.14 , 2860.24 , 419.655 , 1148.75
17 , 2589.84 , 2899.28 , 839.31 , 1148.75
17.5 , 3711.61 , 2984.74 , 1258.97 , 532.094
18 , 3447.12 , 3139.9 , 839.31 , 532.094
18.5 , 4229.21 , 3450.21 , 839.31 , 60.3139
19 , 4637.58 , 3858.59 , 839.31 , 60.3139
19.5 , 4102.71 , 4102.71 , 0 , 0
20 , 4675.1 , 4255.44 , 419.655 , 0
20.5 , 4263.73 , 4263.73 , 0 , 0
21 , 4612.65 , 4192.99 , 419.655 , 0
21.5 , 4517.38 , 4097.72 , 419.655 , 0
22 , 3971.15 , 3971.15 , 0 , 0
22.5 , 3784.1 , 3784.1 , 0 , 0
23 , 3507.33 , 3507.33 , 0 , 0
23.5 , 4025.49 , 3186.18 , 839.31 , 0
