time [hours], national grid [W], fixed load [W], variable load [W], PV [W] 
0 , 6044.69 , 6044.69 , 0 , 0
0.5 , 6026.83 , 5607.18 , 419.655 , 0
1 , 5579.16 , 5159.5 , 419.655 , 0
1.5 , 5573.48 , 4734.17 , 839.31 , 0
2 , 5757.01 , 4498.05 , 1258.97 , 0
2.5 , 5515.12 , 4256.15 , 1258.97 , 0
3 , 5716.93 , 4038.31 , 1678.62 , 0
3.5 , 5559.02 , 3880.4 , 1678.62 , 0
4 , 5843.24 , 3744.96 , 2098.28 , 0
4.5 , 5734.02 , 3635.74 , 2098.28 , 0
5 , 5736.24 , 3637.96 , 2098.28 , 0
5.5 , 5293.21 , 3614.58 , 1678.62 , 0
6 , 5685.18 , 3586.9 , 2098.28 , 0
6.5 , 5776.74 , 3687.24 , 2098.28 , 8.77535
7 , 5479.23 , 3809.38 , 1678.62 , 8.77535
7.5 , 5498.29 , 4038.46 , 1678.62 , 218.783
8 , 5801.65 , 4341.81 , 1678.62 , 218.783
8.5 , 5473.67 , 4743.95 , 1258.97 , 529.253
9 , 5591.5 , 5281.44 , 839.31 , 529.253
9.5 , 6022.58 , 5784.52 , 1258.97 , 1020.9
10 , 5603.36 , 6204.6 , 419.655 , 1020.9
10.5 , 5991 , 6619.15 , 1678.62 , 2306.77
11 , 5968.63 , 7016.43 , 1258.97 , 2306.77
11.5 , 5756.82 , 7403.6 , 1258.97 , 2905.74
12 , 5929.12 , 7575.89 , 1258.97 , 2905.74
12.5 , 5651.21 , 7512.72 , 2937.59 , 4799.09
13 , 5308.15 , 7169.66 , 2937.59 , 4799.09
13.5 , 5843.09 , 6634.93 , 1678.62 , 2470.46
14 , 5529.61 , 6321.45 , 1678.62 , 2470.46
14.5 , 5272.24 , 6135.54 , 2937.59 , 3800.89
15 , 5568.16 , 6011.81 , 3357.24 , 3800.89
15.5 , 5409.56 , 5879.76 , 2937.59 , 3407.78
16 , 5283.56 , 5753.75 , 2937.59 , 3407.78
16.5 , 5521.25 , 5720.48 , 2098.28 , 2297.51
17 , 5179.68 , 5798.57 , 1678.62 , 2297.51
17.5 , 5744.6 , 5969.47 , 839.31 , 1064.19
18 , 5635.26 , 6279.8 , 419.655 , 1064.19
18.5 , 6779.79 , 6900.42 , 0 , 120.628
19 , 7596.54 , 7717.17 , 0 , 120.628
19.5 , 8205.43 , 8205.43 , 0 , 0
20 , 8510.89 , 8510.89 , 0 , 0
20.5 , 8527.45 , 8527.45 , 0 , 0
21 , 8385.98 , 8385.98 , 0 , 0
21.5 , 8195.44 , 8195.44 , 0 , 0
22 , 7942.3 , 7942.3 , 0 , 0
22.5 , 7568.2 , 7568.2 , 0 , 0
23 , 7014.66 , 7014.66 , 0 , 0
23.5 , 6372.36 , 6372.36 , 0 , 0
