time,national grid [W], fixed load [W], variable load [W], PV [W] ,,,,,
12:00:00 AM,4564.78,3777.93,786.853,0,4564.783,-0.00299999999970169,20837216.4484,,12:30:00 AM
12:30:00 AM,4291.34,3504.48,786.853,0,4291.333,0.00700000000051659,18415598.9956,,
01:00:00 AM,3618.11,3224.69,393.427,0,3618.117,-0.00700000000006185,13090719.9721,,
01:30:00 AM,4139.13,2958.85,1180.28,0,4139.13,0,17132397.1569,,
02:00:00 AM,3991.56,2811.28,1180.28,0,3991.56,0,15932551.2336,,
02:30:00 AM,4233.8,2660.1,1573.71,0,4233.81,-0.00999999999930878,17925062.44,,
03:00:00 AM,4097.65,2523.94,1573.71,0,4097.65,0,16790735.5225,,
03:30:00 AM,2818.68,2425.25,393.427,0,2818.677,0.00299999999970169,7944956.9424,,
04:00:00 AM,3127.46,2340.6,786.853,0,3127.453,0.00700000000006185,9781006.0516,,
04:30:00 AM,3452.62,2272.34,1180.28,0,3452.62,0,11920584.8644,,
05:00:00 AM,2667.15,2273.73,393.427,0,2667.157,-0.00700000000006185,7113689.1225,,
05:30:00 AM,3832.82,2259.12,1573.71,0,3832.83,-0.00999999999976353,14690509.1524,,
06:00:00 AM,3028.67,2241.81,786.853,0,3028.663,0.00700000000006185,9172841.9689,,
06:30:00 AM,3873.84,2304.52,1573.71,4.38768,3873.84232,-0.00232000000005428,15006636.3456,,
07:00:00 AM,2769.9,2380.86,393.427,4.38768,2769.89932,0.000679999999647407,7672346.01,,
07:30:00 AM,3201.5,2524.04,786.853,109.392,3201.501,-0.00100000000020373,10249602.25,,
08:00:00 AM,2604.24,2713.63,0,109.392,2604.238,0.00199999999949796,6782065.9776,,
08:30:00 AM,3093.77,2964.97,393.427,264.627,3093.77,0,9571412.8129,,
09:00:00 AM,3429.7,3300.9,393.427,264.627,3429.7,0,11762842.09,,
09:30:00 AM,3891.73,3615.32,786.853,510.449,3891.724,0.00600000000031287,15145562.3929,,
10:00:00 AM,3760.85,3877.88,393.427,510.449,3760.858,-0.00799999999981083,14143992.7225,,
10:30:00 AM,4163.86,4136.97,1180.28,1153.38,4163.87,-0.0100000000002183,17337730.0996,,
11:00:00 AM,4805.59,4385.27,1573.71,1153.38,4805.6,-0.0100000000002183,23093695.2481,,
11:30:00 AM,4748.09,4627.25,1573.71,1452.87,4748.09,0,22544358.6481,,
12:00:00 PM,4068.91,4734.93,786.853,1452.87,4068.913,-0.00300000000061118,16556028.5881,,
12:30:00 PM,2295.9,4695.45,0,2399.55,2295.9,0,5271156.81,,
01:00:00 PM,2474.92,4481.04,393.427,2399.55,2474.917,0.00300000000061118,6125229.0064,,
01:30:00 PM,4091.88,4146.83,1180.28,1235.23,4091.88,0,16743481.9344,,
02:00:00 PM,3502.53,3950.91,786.853,1235.23,3502.533,-0.00299999999970169,12267716.4009,,
02:30:00 PM,2721.12,3834.71,786.853,1900.45,2721.113,0.0069999999996071,7404494.0544,,
03:00:00 PM,2643.79,3757.38,786.853,1900.45,2643.783,0.0069999999996071,6989625.5641,,
03:30:00 PM,1970.96,3674.85,0,1703.89,1970.96,0,3884683.3216,,
04:00:00 PM,2285.63,3596.1,393.427,1703.89,2285.637,-0.0069999999996071,5224104.4969,,
04:30:00 PM,4393.68,3575.3,1967.13,1148.75,4393.68,0,19304423.9424,,
05:00:00 PM,3262.2,3624.1,786.853,1148.75,3262.203,-0.00299999999970169,10641948.84,,
05:30:00 PM,3592.25,3730.92,393.427,532.094,3592.253,-0.00299999999970169,12904260.0625,,
06:00:00 PM,4179.63,3924.87,786.853,532.094,4179.629,0.00100000000020373,17469306.9369,,
06:30:00 PM,5039.3,4312.76,786.853,60.3139,5039.2991,0.000900000000001455,25394544.49,,
07:00:00 PM,6336.63,4823.23,1573.71,60.3139,6336.6261,0.00390000000061264,40152879.7569,,
07:30:00 PM,5521.82,5128.39,393.427,0,5521.817,0.00299999999970169,30490496.1124,,
08:00:00 PM,6106.16,5319.3,786.853,0,6106.153,0.0069999999996071,37285189.9456,,
08:30:00 PM,5723.08,5329.66,393.427,0,5723.087,-0.0069999999996071,32753644.6864,,
09:00:00 PM,6028.09,5241.24,786.853,0,6028.093,-0.00299999999970169,36337869.0481,,
09:30:00 PM,5515.58,5122.15,393.427,0,5515.577,0.00300000000061118,30421622.7364,,
10:00:00 PM,4963.93,4963.93,0,0,4963.93,0,24640601.0449,,
10:30:00 PM,5123.55,4730.12,393.427,0,5123.547,0.00300000000061118,26250764.6025,,
11:00:00 PM,5564.44,4384.16,1180.28,0,5564.44,0,30962992.5136,,
11:30:00 PM,4376.15,3982.72,393.427,0,4376.147,0.00299999999970169,19150688.8225,,
,,,,,,,,,
,,,,,,,16847622.2538854,,
,,,,,,,4104.58551547966,,
